TIRF Data File: Project 1320; Run 116
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
31.560	40.91	359.78	0.014	0.030	24.056	30.167	54.90	-3639.35	37.98	-1581.47	42.79	-68.03	2.30	-0.02	36.57	60.08	66.61	65.27	79.92	-0.203	-0.156
31.580	40.94	359.23	0.014	0.025	24.055	30.240	54.97	-3597.79	47.83	-1584.58	53.71	-71.30	2.27	-0.03	36.47	60.21	66.81	65.53	79.90	-0.205	-0.158
31.600	40.95	358.49	0.019	0.028	24.054	30.306	54.97	-3575.33	36.99	-1578.03	64.10	-61.07	2.27	-0.02	36.42	60.31	67.00	65.75	79.94	-0.206	-0.160
31.620	40.96	357.63	0.017	0.025	24.053	30.386	54.97	-3557.34	38.24	-1544.76	55.75	-42.54	2.30	-0.02	36.42	60.39	67.16	65.92	79.90	-0.208	-0.162
31.640	40.95	356.81	0.017	0.027	24.050	30.452	54.97	-3573.13	52.43	-1500.67	37.64	-38.28	2.38	-0.03	36.63	60.53	67.33	66.11	79.92	-0.210	-0.164
31.660	40.94	355.95	0.020	0.028	24.050	30.512	54.97	-3638.71	56.76	-1506.44	39.78	-52.25	2.42	-0.04	36.44	60.58	67.49	66.30	79.90	-0.212	-0.165
31.680	40.90	355.33	0.017	0.021	24.048	30.538	55.10	-3687.47	36.34	-1551.42	48.84	-58.80	2.38	-0.02	36.42	60.69	67.70	66.52	79.91	-0.213	-0.166
31.700	40.84	354.90	0.016	0.021	24.046	30.530	55.10	-3664.40	22.90	-1580.70	41.81	-57.42	2.32	-0.01	36.46	60.83	67.90	66.76	79.93	-0.212	-0.166
31.720	40.74	354.66	0.011	0.022	24.046	30.480	55.17	-3603.39	43.99	-1597.92	37.89	-66.24	2.26	-0.03	36.51	60.93	68.15	67.00	79.89	-0.211	-0.165
31.740	40.68	354.23	0.020	0.025	24.045	30.472	55.24	-3544.29	56.43	-1607.78	46.15	-71.26	2.20	-0.04	36.47	61.07	68.36	67.24	79.92	-0.211	-0.164
31.760	40.64	353.53	0.019	0.017	24.049	30.501	55.10	-3528.92	49.86	-1600.06	57.89	-63.45	2.21	-0.03	36.67	61.16	68.61	67.44	79.90	-0.212	-0.165
31.780	40.63	352.75	0.014	0.024	24.047	30.558	55.37	-3557.14	52.15	-1568.27	61.12	-50.50	2.27	-0.03	36.77	61.26	68.77	67.65	79.92	-0.213	-0.167
31.800	40.61	351.93	0.019	0.025	24.049	30.615	55.31	-3560.65	64.41	-1524.05	49.22	-38.32	2.34	-0.04	36.87	61.34	68.91	67.84	79.90	-0.214	-0.168
31.820	40.58	351.26	0.011	0.021	24.048	30.648	55.44	-3564.04	61.41	-1506.58	37.26	-40.09	2.37	-0.04	36.93	61.40	69.08	68.01	79.91	-0.215	-0.169
31.840	40.57	350.83	0.020	0.028	24.048	30.679	55.31	-3574.20	46.15	-1539.05	40.12	-53.22	2.32	-0.03	36.83	61.47	69.22	68.18	79.92	-0.216	-0.170
31.860	40.60	350.28	0.010	0.021	24.050	30.748	55.37	-3547.58	35.87	-1593.17	49.14	-55.62	2.23	-0.02	37.32	61.57	69.48	68.40	79.90	-0.218	-0.172
31.880	40.63	349.74	0.020	0.027	24.047	30.824	55.37	-3517.19	44.59	-1613.86	45.28	-57.53	2.18	-0.03	37.20	61.66	69.67	68.58	79.92	-0.220	-0.174
31.900	40.64	349.11	0.014	0.022	24.051	30.887	55.37	-3507.82	53.42	-1601.98	39.26	-68.04	2.19	-0.03	37.40	61.76	69.87	68.75	79.89	-0.221	-0.176
31.920	40.63	348.56	0.013	0.022	24.051	30.928	55.37	-3525.03	49.62	-1593.63	50.53	-72.74	2.21	-0.03	37.46	61.85	70.03	68.91	79.93	-0.222	-0.177
31.940	40.64	348.10	0.008	0.022	24.057	30.973	55.31	-3550.95	50.85	-1576.88	66.45	-60.48	2.25	-0.03	37.26	61.89	70.17	69.05	79.89	-0.223	-0.178
